,0
1158,424110
1159,42412
1160,424120
1161,42413
1162,424130
1163,4242
1164,42421
1165,424210
1166,4243
1167,42431
1168,424310
1169,42432
1170,424320
1171,42433
1172,424330
1173,42434
1174,424340
1175,4244
1176,42441
1177,424410
1178,42442
1179,424420
1180,42443
1181,424430
1182,42444
1183,424440
1184,42445
1185,424450
1186,42446
1187,424460
1188,42447
1189,424470
1190,42448
1191,424480
1192,42449
1193,424490
1194,4245
1195,42451
1196,424510
1197,42452
1198,424520
1199,42459
1200,424590
1201,4246
1202,42461
1203,424610
1204,42469
1205,424690
1206,4247
1207,42471
1208,424710
1209,42472
1210,424720
1211,4248
1212,42481
1213,424810
1214,42482
1215,424820
1216,4249
1217,42491
1218,424910
1219,42492
1220,424920
1221,42493
1222,424930
1223,42494
1224,424940
1225,42495
1226,424950
1227,42499
1228,424990
1229,425
1230,4251
1231,42511
1232,425110
1233,42512
1234,425120
1235,44-45
1236,441
1237,4411
1238,44111
1239,441110
1240,44112
1241,441120
1242,4412
1243,44121
1244,441210
1245,44122
1246,441221
1247,441222
1248,441229
1249,4413
1250,44131
1251,441310
1252,44132
1253,441320
1254,442
1255,4421
1256,44211
1257,442110
1258,4422
1259,44221
1260,442210
1261,44229
1262,442291
1263,442299
1264,443
1265,4431
1266,44311
1267,443111
1268,443112
1269,44312
1270,443120
1271,44313
1272,443130
1273,444
1274,4441
1275,44411
1276,444110
1277,44412
1278,444120
1279,44413
1280,444130
1281,44419
1282,444190
1283,4442
1284,44421
1285,444210
1286,44422
1287,444220
1288,445
1289,4451
1290,44511
1291,445110
1292,44512
1293,445120
1294,4452
1295,44521
1296,445210
1297,44522
1298,445220
1299,44523
1300,445230
1301,44529
1302,445291
1303,445292
1304,445299
1305,4453
1306,44531
1307,445310
1308,446
1309,4461
1310,44611
1311,446110
1312,44612
1313,446120
1314,44613
1315,446130
1316,44619
1317,446191
1318,446199
1319,447
1320,4471
1321,44711
1322,447110
1323,44719
1324,447190
1325,448
1326,4481
1327,44811
1328,448110
1329,44812
1330,448120
1331,44813
1332,448130
1333,44814
1334,448140
1335,44815
1336,448150
1337,44819
1338,448190
1339,4482
1340,44821
1341,448210
1342,4483
1343,44831
1344,448310
1345,44832
1346,448320
1347,451
1348,4511
1349,45111
1350,451110
1351,45112
1352,451120
1353,45113
1354,451130
1355,45114
1356,451140
1357,4512
1358,45121
1359,451211
1360,451212
1361,45122
1362,451220
1363,452
1364,4521
1365,45211
1366,452111
1367,452112
1368,4529
1369,45291
1370,452910
1371,45299
1372,452990
1373,453
1374,4531
1375,45311
1376,453110
1377,4532
1378,45321
1379,453210
1380,45322
1381,453220
1382,4533
1383,45331
1384,453310
1385,4539
1386,45391
1387,453910
1388,45392
1389,453920
1390,45393
1391,453930
1392,45399
1393,453991
1394,453998
1395,454
1396,4541
1397,45411
1398,454111
1399,454112
1400,454113
1401,4542
1402,45421
1403,454210
1404,4543
1405,45431
1406,454311
1407,454312
1408,454319
1409,45439
1410,454390
1411,48-49
1412,481
1413,4811
